Gene.symbol	Gene.ID	adj.P.Val	logFC
FCRL2	79368	2.73874472468293e-74	-5.75503255548252
ZNF860	344787	2.31042923681477e-72	-4.82017051459674
CXCR5	643	4.03496211921952e-67	-5.50284833061072
FAM177B	400823	4.70544658064731e-63	-4.26802167501399
FCRL5	83416	1.52634093971001e-59	-4.84844413388345
MYB///MYB	4602///4602	2.00604374417129e-59	5.67336117821212
FCRL3	115352	8.67697665671539e-57	-6.43257617637762
CLEC17A	388512	5.35289356576733e-56	-4.27978902474592
KLHL14	57565	6.33063619804465e-55	-5.06329814760839
RIC3	79608	1.88560265456905e-54	-3.68782054292541
BTLA	151888	2.15217233439399e-53	-6.21600602515851
SLC38A11	151258	3.01790728198253e-53	-4.49556697624475
GPR15	2838	3.35670074912431e-53	-4.7734680624289
FCRL1	115350	6.6016611947876e-53	-6.52296904873193
		1.33623031569297e-52	-4.09928211334033
TNFRSF17	608	1.33429047846881e-51	-3.84059604764336
		1.94613551821664e-49	-4.43251002027739
PAX5	5079	3.68323610396756e-49	-5.24098602473893
GPRC5D	55507	5.5571326099764e-49	-3.54029885520979
IGKC	3514	1.62630608467973e-48	-6.47277434227506
EBF1///PDGFRB	1879///5159	1.30681336005772e-45	-5.45289636147552
		1.88894640505311e-45	-3.49663705075758
CD22	933	3.01530036576735e-45	-6.65604540393706
SEMA4B	10509	4.5094144765969e-45	-2.87800776775991
OSBPL10	114884	1.36765164833307e-44	-5.3028410673683
		2.0679086880346e-44	-4.07259918670863
CD40	958	2.9190626711749e-44	-3.9341564053986
LOC541472	541472	5.74624388913645e-44	-2.68302764860373
IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH	3507///3500///3495///3494///3493///3494///3493///3492	2.07363954520787e-43	-5.36936006268997
XKRX	402415	1.50781404236468e-42	-2.20297209202797
IGK///IGKC	50802///3514	1.57105004537039e-42	-5.10965343734033
HLA-DOB	3112	1.8697063489641e-42	-5.3388121641352
		2.90106366228364e-42	-3.26049453389044
CD19	930	3.33605307709871e-42	-4.1922360031725
IGKC	3514	4.53834584697895e-42	-6.49218956555012
AIM2	9447	5.62198294163571e-42	-5.47465131692774
PNOC	5368	6.15406932629419e-42	-3.46599856573893
HOOK1	51361	2.13315427671636e-41	-2.57348697547319
CCR6	1235	4.1569563897579e-41	-4.50253785859441
TLR10	81793	1.60171120657278e-40	-6.19540471201865
RAB30	27314	1.86560808654103e-40	-5.35141793892541
PARM1	25849	2.52796813207915e-39	-3.97739150062238
		3.4010098750886e-39	-2.85344251152215
CD79B	974	3.4151458686757e-39	-4.97629323749651
PLEKHG7	440107	3.82456107480159e-39	-2.48881738303963
		4.05257155619431e-39	-5.2495241107296
TNFRSF1A	7132	5.84686502167729e-39	3.48491966695338
		8.74040333588898e-39	-4.29725694183683
		1.06918644793583e-38	-3.28805778574359
UGT2B17///UGT2B15	7367///7366	1.80647790922387e-38	-2.70658819441259
BACH2	60468	4.52366235070753e-38	-4.82623009559907
IGKC	3514	6.00540849899785e-38	-4.51857866527739
PLPP5	84513	8.18655283879365e-38	-3.14373032277389
		9.29348218243777e-38	-2.25978398111422
		2.54298775977089e-37	-3.11243490134499
		5.80235217408658e-37	-2.96773735210257
IGKC	3514	9.22688934387232e-37	-6.31966162513986
SNX29P1///SNX29P2///SNX29	100652781///440352///92017	2.02883607412266e-36	-5.49898841427506
ITGA5	3678	3.75243277339946e-36	3.9991431934289
NUCB2	4925	6.34061081696282e-36	3.80925754443823
		8.67954761240852e-36	-5.44604657281119
MBD4	8930	9.98679351858497e-36	-1.83995504074825
GNAQ	2776	1.71072993642238e-35	5.78656160805594
ZBP1	81030	2.59852995160219e-35	-2.48642094328438
FADS1	3992	4.28854507752066e-35	4.26628311520979
TCL1A	8115	4.78523204759399e-35	-7.21167987425175
NUAK2	81788	6.6898207953316e-35	-3.74517914555478
IGKC	3514	7.76963704721532e-35	-4.7237082227669
		8.34490065900459e-35	-2.3679406765338
KMO	8564	1.17725150238928e-34	-5.523010648331
IGKC	3514	1.81126688018414e-34	-3.98909676261772
SPN	6693	2.061715369978e-34	3.39530369942657
COL19A1	1310	2.68235654010051e-34	-3.90861118446387
		2.68235654010051e-34	-2.14861637724476
IGKC	3514	4.39531150318732e-34	-6.26541482310257
LOC100505549	100505549	6.67462317066741e-34	-2.8718557395338
FAM129C	199786	8.80662501752345e-34	-4.71213428394406
TMEM144	55314	1.00489710167649e-33	2.75616980293473
CD79A	973	1.16372525979596e-33	-6.40966543357109
COL4A3	1285	1.95137027828912e-33	-1.7949309832634
CBX7	23492	2.13369953978544e-33	-2.29158136868298
CPD	1362	2.58582268354658e-33	2.93740314614452
CD72	971	2.78026478211924e-33	-4.5383863423007
		1.01592664077604e-32	-3.74985118624476
C12orf74	338809	3.46385417590279e-32	-2.29894392378322
SCCPDH	51097	3.76583740888885e-32	3.71722591458508
C12orf42	374470	8.55449877486702e-32	-3.84971177297669
SNORA70E	100379250	2.64161534493706e-31	-3.49203025313986
LOC100133207	100133207	3.19302760497348e-31	-5.45741853356643
TNFRSF13C	115650	3.52128858324542e-31	-2.91281727309557
FCMR	9214	3.71477198404262e-31	-5.97470976941259
GLUL	2752	9.40407772634055e-31	2.90341735230769
		9.69969633487139e-31	-3.1340925498345
TYMS	7298	1.37734819516593e-30	4.23827327378555
FCER2	2208	1.70827759278216e-30	-4.76653823625408
		2.46448778716074e-30	-6.45356906173427
UTS2B	257313	2.5219596444596e-30	-1.9948343285641
IL7	3574	3.07978541001743e-30	-3.39670262011888
POU2AF1	5450	3.27229847200988e-30	-3.46734649925874
KCNK5	8645	3.84429587653663e-30	3.2850223709324
ANGPTL1	9068	4.96826193644287e-30	-1.54360434271329
BLNK	29760	5.22950627150634e-30	-4.97414414817483
CYBRD1	79901	8.41817130245816e-30	5.22833460814685
SLC30A4	7782	8.44117609122427e-30	-4.1484179375035
SERPINB9P1	221756	9.41215889621702e-30	-4.43303536131002
ADAM19	8728	1.16488905129304e-29	-4.76372133754779
ZBTB32	27033	2.2036117890271e-29	-1.48007899783916
DUS2	54920	2.63962912574936e-29	-2.01598498084149
		2.82497574994629e-29	-2.1798253969697
KIAA0101	9768	3.41613613431618e-29	4.96235742548951
E2F3	1871	3.98343529264258e-29	2.49816612846853
TMEM173	340061	4.41979182221352e-29	3.6167900353007
ILDR1	286676	4.66059422394666e-29	-1.62675809383217
C11orf80	79703	4.80151597768562e-29	-2.82203372735665
DSP	1832	1.30951172438755e-28	-2.15915826137995
CDK6	1021	1.60238892942519e-28	3.25215235634965
C1orf220	400798	1.61470434653378e-28	-2.36266351456643
MARCH1	55016	1.72912094463162e-28	-5.3482839745641
ACTN1	87	2.82707496095815e-28	4.11919960699767
IGKC	3514	3.35436513864017e-28	-4.24457763458975
KCNIP2	30819	3.982511544671e-28	-2.06795876468998
HVCN1	84329	4.09464207277175e-28	-3.8048750350373
IGHV3-69-1///IGHV3OR16-7	28402///28309	4.88888984409951e-28	-4.97434698512354
KIAA0040	9674	6.47907299705816e-28	-5.1773284649324
LARGE1	9215	7.33723553309355e-28	-3.48826107142891
LINC01588	283551	8.68550575418004e-28	-2.06212629434499
SNORA70F	100337591	8.7930658002813e-28	-2.19362724267133
FAM69A	388650	1.00496267746674e-27	-4.36954211360839
SLC6A16	28968	1.02832221366575e-27	-3.04711820224709
MGST2	4258	1.13368545504864e-27	4.21053654170396
		1.35103397010367e-27	-4.41081978755711
PLA2G4A	5321	1.93119547814782e-27	3.49485963223543
GSS	2937	2.01832348460154e-27	2.09087594562704
TTC9	23508	2.28022835078015e-27	-2.19639503957343
		2.32188335595745e-27	-3.54461902869231
RASSF6	166824	3.09109489483217e-27	-2.73028554268298
SP140	11262	3.3759793444244e-27	-4.88631725484616
IKZF3	22806	3.86277255519616e-27	-5.4122467567972
PLEKHG1///PLEKHG1	57480///57480	3.8736799866496e-27	-5.04145775526806
PRDM4	11108	4.12945260061321e-27	-1.98738936898602
VPREB3	29802	5.62326137442662e-27	-4.84639436374825
LOC100128233	100128233	6.24026550874947e-27	-1.63178970398368
IGKC	3514	9.29102848689462e-27	-5.91969514044522
IL6	3569	9.44384858129146e-27	-3.61511433274359
LARGE2	120071	1.22258572650445e-26	-2.55635491265035
CRIP3///CRIP3	401262///401262	1.22392430692002e-26	-1.92830602661072
		1.30081546544141e-26	-6.06578315104895
KHDRBS2	202559	1.79544946731949e-26	-3.53021116496504
SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	652070///28831///3507///3493///652070///317730///50802///28912///28442///28439///28424///28402	1.97979314734471e-26	-5.96123558046154
		2.29740699057503e-26	-1.84510099989044
IRF4	3662	2.33184169672406e-26	-4.83997845583916
CCDC88A	55704	2.51609950420191e-26	2.23691864631935
C15orf57	90416	2.79881142622627e-26	-1.89866162964336
BLK	640	3.53060998354176e-26	-4.71885214618648
CR2	1380	4.18983810238767e-26	-5.35979339991608
CCDC191	57577	6.10644098511281e-26	-2.41922506614452
P2RY10	27334	6.35238908943054e-26	-7.01232948526807
NEK8	284086	6.3848629445566e-26	-1.33249993772727
BAIAP3	8938	7.23034407792743e-26	-1.74720354962704
MS4A1	931	8.28245747522912e-26	-8.21446197081818
LBH	81606	1.23211282053248e-25	-3.38800029330769
KLF8	11279	1.26239721120803e-25	-3.76519636889744
MAP3K14	9020	1.40786867696921e-25	-1.81915033567832
FCRLA	84824	1.66611021049996e-25	-5.69595246467366
GNG3	2785	2.00473102336743e-25	-1.91395934159208
DYRK4	8798	3.39824710805208e-25	-2.31719468151748
FADS2	9415	3.76749931116548e-25	3.80917239685315
DTL	51514	3.76749931116548e-25	3.47662585556876
		3.99816690346757e-25	-5.75110608153147
TMEM243	79161	4.03961278736969e-25	-3.05095415401632
ETS2	2114	5.11034809824606e-25	3.64318685722844
STMN1	3925	6.65127173608934e-25	2.72578372578555
MARCH9	92979	6.89400991713128e-25	-2.1328973600303
		8.17120244296711e-25	-2.96674936328671
RAB32	10981	8.19433651985785e-25	2.97272078225874
ZPBP2	124626	9.62223801788078e-25	-1.48642116533333
PYGL	5836	1.00484014982818e-24	5.48535313706294
TINF2	26277	1.07361870842747e-24	-1.58943136843357
ZHX2	22882	1.13612703910932e-24	-3.08012260893473
NCOA3	8202	1.25790966316176e-24	-2.66892959459441
SSPN	8082	2.11965437726077e-24	-2.92271194850117
GNAQ	2776	2.24226161856733e-24	4.51317640201865
SEPT1	1731	2.29670518524312e-24	-3.41019655893007
PPP3CC	5533	2.50023836561782e-24	-2.40964741602797
AIDA	64853	2.73958421246762e-24	-1.89242842792308
SPIB	6689	2.83730338550324e-24	-3.04546467178555
AKAP6	9472	3.43660662661178e-24	-2.38204373702797
NUGGC	389643	3.79927683292455e-24	-2.46063494344289
NCR3	259197	3.9147000950759e-24	-2.30055245258741
